x,	 y,	 r 
63 , 84 , 169155710.44
64 , 84 , 359439668.59000003
65 , 84 , 528552461.44
66 , 84 , 676530666.5
200 , 84 , 792809997.44
201 , 84 , 1997893612.9099998
202 , 84 , 1321360833.0
203 , 84 , 623686149.71
62 , 85 , 169155710.44
63 , 85 , 623713460.84
64 , 85 , 1057129307.86
65 , 85 , 1469360334.0025
66 , 85 , 1860459536.1875
200 , 85 , 792824628.4025
201 , 85 , 2653300745.94
202 , 85 , 1733636077.1599998
203 , 85 , 792829505.0
62 , 86 , 359439668.59000003
63 , 86 , 1057129307.86
64 , 86 , 1733677043.75
65 , 86 , 2389026953.44
66 , 86 , 3023247152.75
200 , 86 , 792839259.36
201 , 86 , 3287565975.59
202 , 86 , 2124769417.94
203 , 86 , 940830956.91
62 , 87 , 528552461.44
63 , 87 , 1469360334.0025
64 , 87 , 2389026953.44
65 , 87 , 3287484043.3025
66 , 87 , 4164826865.625
200 , 87 , 792841697.0625
201 , 87 , 3900603468.0
202 , 87 , 2494695504.5625
203 , 87 , 1067646288.0
62 , 88 , 676530666.5
63 , 88 , 1860459536.1875
64 , 88 , 3023247152.75
65 , 88 , 4164826865.625
66 , 88 , 5285313281.25
201 , 88 , 3287508752.75
202 , 88 , 2124721136.1875
203 , 88 , 940792266.5
140 , 134 , 169155710.44
141 , 134 , 359439668.59000003
142 , 134 , 528552461.44
143 , 134 , 676530666.5
201 , 134 , 3283404311.84
202 , 134 , 3283404311.84
203 , 134 , 3283404311.84
204 , 134 , 3285442745.96
205 , 134 , 4162816780.25
308 , 134 , 792809997.44
309 , 134 , 1997893612.9099998
310 , 134 , 1321360833.0
311 , 134 , 623686149.71
139 , 135 , 169155710.44
140 , 135 , 623713460.84
141 , 135 , 1057129307.86
142 , 135 , 1469360334.0025
143 , 135 , 1860459536.1875
201 , 135 , 3283404311.84
202 , 135 , 3283404311.84
203 , 135 , 3283404311.84
204 , 135 , 3285442745.96
205 , 135 , 4162816780.25
308 , 135 , 792824628.4025
309 , 135 , 2653300745.94
310 , 135 , 1733636077.1599998
311 , 135 , 792829505.0
139 , 136 , 359439668.59000003
140 , 136 , 1057129307.86
141 , 136 , 1733677043.75
142 , 136 , 2389026953.44
143 , 136 , 3023247152.75
201 , 136 , 3283404311.84
202 , 136 , 3283404311.84
203 , 136 , 3283404311.84
204 , 136 , 3285442745.96
205 , 136 , 4162816780.25
308 , 136 , 792839259.36
309 , 136 , 3287565975.59
310 , 136 , 2124769417.94
311 , 136 , 940830956.91
139 , 137 , 528552461.44
140 , 137 , 1469360334.0025
141 , 137 , 2389026953.44
142 , 137 , 3287484043.3025
143 , 137 , 4164826865.625
201 , 137 , 3285442745.96
202 , 137 , 3285442745.96
203 , 137 , 3285442745.96
204 , 137 , 3287464860.9375
205 , 137 , 4164826865.625
308 , 137 , 792841697.0625
309 , 137 , 3900603468.0
310 , 137 , 2494695504.5625
311 , 137 , 1067646288.0
139 , 138 , 676530666.5
140 , 138 , 1860459536.1875
141 , 138 , 3023247152.75
142 , 138 , 4164826865.625
143 , 138 , 5285313281.25
201 , 138 , 4162816780.25
202 , 138 , 4162816780.25
203 , 138 , 4162816780.25
204 , 138 , 4164826865.625
205 , 138 , 5285313281.25
309 , 138 , 3287508752.75
310 , 138 , 2124721136.1875
311 , 138 , 940792266.5
62 , 175 , 792809997.44
63 , 175 , 792824628.4025
64 , 175 , 792839259.36
65 , 175 , 792841697.0625
201 , 175 , 803432969.44
202 , 175 , 803410860.7225
203 , 175 , 803388752.0
204 , 175 , 803367618.75
62 , 176 , 1997893612.9099998
63 , 176 , 2653300745.94
64 , 176 , 3287565975.59
65 , 176 , 3900603468.0
66 , 176 , 3287508752.75
139 , 176 , 3283404311.84
140 , 176 , 3283404311.84
141 , 176 , 3283404311.84
142 , 176 , 3285442745.96
143 , 176 , 4162816780.25
200 , 176 , 803432969.44
201 , 176 , 5285407567.91
202 , 176 , 4164893516.5
203 , 176 , 3023237561.71
204 , 176 , 1860430275.0
62 , 177 , 1321360833.0
63 , 177 , 1733636077.1599998
64 , 177 , 2124769417.94
65 , 177 , 2494695504.5625
66 , 177 , 2124721136.1875
139 , 177 , 3283404311.84
140 , 177 , 3283404311.84
141 , 177 , 3283404311.84
142 , 177 , 3285442745.96
143 , 177 , 4162816780.25
200 , 177 , 803410860.7225
201 , 177 , 4164893516.5
202 , 177 , 3287511353.96
203 , 177 , 2388987288.04
204 , 177 , 1469317092.1875
62 , 178 , 623686149.71
63 , 178 , 792829505.0
64 , 178 , 940830956.91
65 , 178 , 1067646288.0
66 , 178 , 940792266.5
139 , 178 , 3283404311.84
140 , 178 , 3283404311.84
141 , 178 , 3283404311.84
142 , 178 , 3285442745.96
143 , 178 , 4162816780.25
200 , 178 , 803388752.0
201 , 178 , 3023237561.71
202 , 178 , 2388987288.04
203 , 178 , 1733595110.99
204 , 178 , 1057062656.25
139 , 179 , 3285442745.96
140 , 179 , 3285442745.96
141 , 179 , 3285442745.96
142 , 179 , 3287464860.9375
143 , 179 , 4164826865.625
200 , 179 , 803367618.75
201 , 179 , 1860430275.0
202 , 179 , 1469317092.1875
203 , 179 , 1057062656.25
204 , 179 , 623666967.1875
139 , 180 , 4162816780.25
140 , 180 , 4162816780.25
141 , 180 , 4162816780.25
142 , 180 , 4164826865.625
143 , 180 , 5285313281.25
99 , 248 , 169155710.44
100 , 248 , 359439668.59000003
101 , 248 , 528552461.44
102 , 248 , 676530666.5
139 , 248 , 3283404311.84
140 , 248 , 3283404311.84
141 , 248 , 3283404311.84
142 , 248 , 3285442745.96
143 , 248 , 4162816780.25
240 , 248 , 792809997.44
241 , 248 , 1997893612.9099998
242 , 248 , 1321360833.0
243 , 248 , 623686149.71
98 , 249 , 169155710.44
99 , 249 , 623713460.84
100 , 249 , 1057129307.86
101 , 249 , 1469360334.0025
102 , 249 , 1860459536.1875
139 , 249 , 3283404311.84
140 , 249 , 3283404311.84
141 , 249 , 3283404311.84
142 , 249 , 3285442745.96
143 , 249 , 4162816780.25
240 , 249 , 792824628.4025
241 , 249 , 2653300745.94
242 , 249 , 1733636077.1599998
243 , 249 , 792829505.0
98 , 250 , 359439668.59000003
99 , 250 , 1057129307.86
100 , 250 , 1733677043.75
101 , 250 , 2389026953.44
102 , 250 , 3023247152.75
139 , 250 , 3283404311.84
140 , 250 , 3283404311.84
141 , 250 , 3283404311.84
142 , 250 , 3285442745.96
143 , 250 , 4162816780.25
240 , 250 , 792839259.36
241 , 250 , 3287565975.59
242 , 250 , 2124769417.94
243 , 250 , 940830956.91
98 , 251 , 528552461.44
99 , 251 , 1469360334.0025
100 , 251 , 2389026953.44
101 , 251 , 3287484043.3025
102 , 251 , 4164826865.625
139 , 251 , 3285442745.96
140 , 251 , 3285442745.96
141 , 251 , 3285442745.96
142 , 251 , 3287464860.9375
143 , 251 , 4164826865.625
240 , 251 , 792841697.0625
241 , 251 , 3900603468.0
242 , 251 , 2494695504.5625
243 , 251 , 1067646288.0
98 , 252 , 676530666.5
99 , 252 , 1860459536.1875
100 , 252 , 3023247152.75
101 , 252 , 4164826865.625
102 , 252 , 5285313281.25
139 , 252 , 4162816780.25
140 , 252 , 4162816780.25
141 , 252 , 4162816780.25
142 , 252 , 4164826865.625
143 , 252 , 5285313281.25
241 , 252 , 3287508752.75
242 , 252 , 2124721136.1875
243 , 252 , 940792266.5
274 , 252 , 169155710.44
275 , 252 , 359439668.59000003
276 , 252 , 528552461.44
277 , 252 , 676530666.5
309 , 252 , 3283404311.84
310 , 252 , 3283404311.84
311 , 252 , 3283404311.84
312 , 252 , 3285442745.96
313 , 252 , 4162816780.25
347 , 252 , 792809997.44
348 , 252 , 1997893612.9099998
349 , 252 , 1321360833.0
350 , 252 , 623686149.71
273 , 253 , 169155710.44
274 , 253 , 623713460.84
275 , 253 , 1057129307.86
276 , 253 , 1469360334.0025
277 , 253 , 1860459536.1875
309 , 253 , 3283404311.84
310 , 253 , 3283404311.84
311 , 253 , 3283404311.84
312 , 253 , 3285442745.96
313 , 253 , 4162816780.25
347 , 253 , 792824628.4025
348 , 253 , 2653300745.94
349 , 253 , 1733636077.1599998
350 , 253 , 792829505.0
273 , 254 , 359439668.59000003
274 , 254 , 1057129307.86
275 , 254 , 1733677043.75
276 , 254 , 2389026953.44
277 , 254 , 3023247152.75
309 , 254 , 3283404311.84
310 , 254 , 3283404311.84
311 , 254 , 3283404311.84
312 , 254 , 3285442745.96
313 , 254 , 4162816780.25
347 , 254 , 792839259.36
348 , 254 , 3287565975.59
349 , 254 , 2124769417.94
350 , 254 , 940830956.91
273 , 255 , 528552461.44
274 , 255 , 1469360334.0025
275 , 255 , 2389026953.44
276 , 255 , 3287484043.3025
277 , 255 , 4164826865.625
309 , 255 , 3285442745.96
310 , 255 , 3285442745.96
311 , 255 , 3285442745.96
312 , 255 , 3287464860.9375
313 , 255 , 4164826865.625
347 , 255 , 792841697.0625
348 , 255 , 3900603468.0
349 , 255 , 2494695504.5625
350 , 255 , 1067646288.0
273 , 256 , 676530666.5
274 , 256 , 1860459536.1875
275 , 256 , 3023247152.75
276 , 256 , 4164826865.625
277 , 256 , 5285313281.25
309 , 256 , 4162816780.25
310 , 256 , 4162816780.25
311 , 256 , 4162816780.25
312 , 256 , 4164826865.625
313 , 256 , 5285313281.25
348 , 256 , 3287508752.75
349 , 256 , 2124721136.1875
350 , 256 , 940792266.5
139 , 283 , 792809997.44
140 , 283 , 792824628.4025
141 , 283 , 792839259.36
142 , 283 , 792841697.0625
309 , 283 , 803432969.44
310 , 283 , 803410860.7225
311 , 283 , 803388752.0
312 , 283 , 803367618.75
139 , 284 , 1997893612.9099998
140 , 284 , 2653300745.94
141 , 284 , 3287565975.59
142 , 284 , 3900603468.0
143 , 284 , 3287508752.75
241 , 284 , 3283404311.84
242 , 284 , 3283404311.84
243 , 284 , 3283404311.84
244 , 284 , 3285442745.96
245 , 284 , 4162816780.25
273 , 284 , 3283404311.84
274 , 284 , 3283404311.84
275 , 284 , 3283404311.84
276 , 284 , 3285442745.96
277 , 284 , 4162816780.25
308 , 284 , 803432969.44
309 , 284 , 5285407567.91
310 , 284 , 4164893516.5
311 , 284 , 3023237561.71
312 , 284 , 1860430275.0
139 , 285 , 1321360833.0
140 , 285 , 1733636077.1599998
141 , 285 , 2124769417.94
142 , 285 , 2494695504.5625
143 , 285 , 2124721136.1875
241 , 285 , 3283404311.84
242 , 285 , 3283404311.84
243 , 285 , 3283404311.84
244 , 285 , 3285442745.96
245 , 285 , 4162816780.25
273 , 285 , 3283404311.84
274 , 285 , 3283404311.84
