x,	 y,	 r 
49 , 67 , 221980557.0225
50 , 67 , 433386748.4375
51 , 67 , 433386748.4375
52 , 67 , 433383659.585
49 , 68 , 433386748.4375
50 , 68 , 887908572.4725
51 , 68 , 1321288493.1275
52 , 68 , 1321281990.41
53 , 68 , 623637380.96
49 , 69 , 433386748.4375
50 , 69 , 1321288493.1275
51 , 69 , 1997784046.4025
52 , 69 , 2653127779.715
53 , 69 , 1733506027.1599998
54 , 69 , 623637380.96
49 , 70 , 433383659.585
50 , 70 , 1321281990.41
51 , 70 , 2653127779.715
52 , 70 , 3551579667.84
53 , 70 , 3287322131.84
54 , 70 , 1733506027.1599998
55 , 70 , 623637380.96
50 , 71 , 623637380.96
51 , 71 , 1733506027.1599998
52 , 71 , 3287322131.84
53 , 71 , 3551579667.84
54 , 71 , 3287322131.84
55 , 71 , 1733506027.1599998
56 , 71 , 623637380.96
313 , 71 , 169141404.4375
314 , 71 , 169141404.4375
315 , 71 , 169139291.1025
316 , 71 , 169137177.7475
51 , 72 , 623637380.96
52 , 72 , 1733506027.1599998
53 , 72 , 3287322131.84
54 , 72 , 3551579667.84
55 , 72 , 3287322131.84
56 , 72 , 1733506027.1599998
57 , 72 , 623637380.96
313 , 72 , 264278669.1275
314 , 72 , 264277856.3125
315 , 72 , 264277043.4775
316 , 72 , 169137177.7475
52 , 73 , 623637380.96
53 , 73 , 1733506027.1599998
54 , 73 , 3287322131.84
55 , 73 , 3551579667.84
56 , 73 , 3287322131.84
57 , 73 , 1733506027.1599998
58 , 73 , 623637380.96
313 , 73 , 274848808.0025
314 , 73 , 274849295.6875
315 , 73 , 264277043.4775
316 , 73 , 169137177.7475
53 , 74 , 623637380.96
54 , 74 , 1733506027.1599998
55 , 74 , 3287322131.84
56 , 74 , 3551579667.84
57 , 74 , 3287322131.84
58 , 74 , 1733506027.1599998
59 , 74 , 623637380.96
313 , 74 , 200836540.03499997
314 , 74 , 274835315.21
315 , 74 , 264266476.86499998
316 , 74 , 169130025.0
54 , 75 , 623637380.96
55 , 75 , 1733506027.1599998
56 , 75 , 3287322131.84
57 , 75 , 3551579667.84
58 , 75 , 3287322131.84
59 , 75 , 1733506027.1599998
60 , 75 , 623637380.96
55 , 76 , 623637380.96
56 , 76 , 1733506027.1599998
57 , 76 , 3287322131.84
58 , 76 , 3551579667.84
59 , 76 , 3287322131.84
60 , 76 , 1733506027.1599998
61 , 76 , 623637380.96
56 , 77 , 623637380.96
57 , 77 , 1733506027.1599998
58 , 77 , 3287322131.84
59 , 77 , 3551579667.84
60 , 77 , 3287322131.84
61 , 77 , 1733506027.1599998
62 , 77 , 623637380.96
57 , 78 , 623637380.96
58 , 78 , 1733506027.1599998
59 , 78 , 3287322131.84
60 , 78 , 3551579667.84
61 , 78 , 3287322131.84
62 , 78 , 1733506027.1599998
63 , 78 , 623637380.96
58 , 79 , 623637380.96
59 , 79 , 1733506027.1599998
60 , 79 , 3287322131.84
61 , 79 , 3551579667.84
62 , 79 , 3287322131.84
63 , 79 , 1733506027.1599998
64 , 79 , 623637380.96
59 , 80 , 623637380.96
60 , 80 , 1733506027.1599998
61 , 80 , 3287322131.84
62 , 80 , 3551579667.84
63 , 80 , 3287322131.84
