x,	 y,	 r 
186 , 42 , 433395689.0625
187 , 42 , 433402841.81
188 , 42 , 433402841.81
189 , 42 , 433402841.81
186 , 43 , 887932631.25
187 , 43 , 887946286.49
188 , 43 , 887946286.49
189 , 43 , 887946286.49
186 , 44 , 1321328320.3125
187 , 44 , 1321347827.79
188 , 44 , 1321347827.79
189 , 44 , 1321347827.79
185 , 45 , 528531328.125
186 , 45 , 2388961603.125
187 , 45 , 3285442745.96
188 , 45 , 3285442745.96
189 , 45 , 3285442745.96
185 , 46 , 1437605212.5
186 , 46 , 2843498545.3125
187 , 46 , 5583638227.4375
188 , 46 , 5583654971.3475
189 , 46 , 4484311759.5975
185 , 47 , 1786435889.0625
186 , 47 , 1786435889.0625
187 , 47 , 5055086579.0
188 , 47 , 5055111938.690001
189 , 47 , 3363816240.44
185 , 48 , 2114125312.5
186 , 48 , 2114125312.5
187 , 48 , 5869023198.6875
188 , 48 , 5869060262.84
189 , 48 , 3363829570.5275
184 , 49 , 528531328.125
185 , 49 , 3234611728.125
186 , 49 , 3234611728.125
187 , 49 , 7429347655.25
188 , 49 , 9495048850.11
189 , 49 , 4480197302.61
184 , 50 , 1437605212.5
185 , 50 , 3763143056.25
186 , 50 , 3763143056.25
187 , 50 , 6114217517.96
188 , 50 , 9495048850.11
189 , 50 , 3281346821.0
184 , 51 , 1786435889.0625
185 , 51 , 2706080400.0
186 , 51 , 2706080400.0
187 , 51 , 2706093079.8525
188 , 51 , 5869060262.84
189 , 51 , 1321377088.8125
183 , 52 , 359401303.125
184 , 52 , 2684939146.875
185 , 52 , 3763143056.25
186 , 52 , 3763143056.25
187 , 52 , 3763158987.365
188 , 52 , 5055111938.690001
189 , 52 , 887984651.0
183 , 53 , 1067633282.8125
184 , 53 , 3498877392.1875
185 , 53 , 4270533131.25
186 , 53 , 4270533131.25
187 , 53 , 3498889421.81
188 , 53 , 3363802910.3475
189 , 53 , 623739307.25
183 , 54 , 1786435889.0625
184 , 54 , 3763143056.25
185 , 54 , 3763143056.25
186 , 54 , 3763143056.25
187 , 54 , 2684939146.875
188 , 54 , 1055011930.2725
183 , 55 , 2114125312.5
184 , 55 , 2706080400.0
185 , 55 , 2706080400.0
186 , 55 , 2706080400.0
187 , 55 , 1786435889.0625
182 , 56 , 528531328.125
183 , 56 , 3234611728.125
184 , 56 , 3763143056.25
185 , 56 , 3763143056.25
186 , 56 , 3763143056.25
187 , 56 , 1437605212.5
182 , 57 , 1437605212.5
183 , 57 , 3763143056.25
184 , 57 , 3763143056.25
185 , 57 , 3763143056.25
186 , 57 , 3234611728.125
187 , 57 , 528531328.125
182 , 58 , 1786435889.0625
183 , 58 , 2706080400.0
184 , 58 , 2706080400.0
185 , 58 , 2706080400.0
186 , 58 , 2114125312.5
181 , 59 , 359401303.125
182 , 59 , 2684939146.875
183 , 59 , 3763143056.25
184 , 59 , 3763143056.25
185 , 59 , 3763143056.25
186 , 59 , 1786435889.0625
181 , 60 , 1067633282.8125
182 , 60 , 3498877392.1875
183 , 60 , 4270533131.25
184 , 60 , 4270533131.25
185 , 60 , 3498877392.1875
186 , 60 , 1067633282.8125
181 , 61 , 1786435889.0625
182 , 61 , 3763143056.25
183 , 61 , 3763143056.25
184 , 61 , 3763143056.25
185 , 61 , 2684939146.875
186 , 61 , 359401303.125
181 , 62 , 2114125312.5
182 , 62 , 2706080400.0
183 , 62 , 2706080400.0
184 , 62 , 2706080400.0
185 , 62 , 1786435889.0625
180 , 63 , 528531328.125
181 , 63 , 3234611728.125
182 , 63 , 3763143056.25
183 , 63 , 3763143056.25
184 , 63 , 3763143056.25
185 , 63 , 1437605212.5
180 , 64 , 1437605212.5
181 , 64 , 3763143056.25
182 , 64 , 3763143056.25
183 , 64 , 3763143056.25
184 , 64 , 3234611728.125
185 , 64 , 528531328.125
180 , 65 , 1786435889.0625
181 , 65 , 2706080400.0
182 , 65 , 2706080400.0
183 , 65 , 2706080400.0
184 , 65 , 2114125312.5
180 , 66 , 2114125312.5
181 , 66 , 2706080400.0
182 , 66 , 2706080400.0
183 , 66 , 2706080400.0
184 , 66 , 1786435889.0625
179 , 67 , 528531328.125
180 , 67 , 3234611728.125
181 , 67 , 3763143056.25
182 , 67 , 3763143056.25
183 , 67 , 3763143056.25
184 , 67 , 1437605212.5
179 , 68 , 1437605212.5
180 , 68 , 3763143056.25
181 , 68 , 3763143056.25
182 , 68 , 3763143056.25
183 , 68 , 3234611728.125
184 , 68 , 528531328.125
179 , 69 , 1786435889.0625
180 , 69 , 2706080400.0
181 , 69 , 2706080400.0
182 , 69 , 2706080400.0
183 , 69 , 2114125312.5
178 , 70 , 359401303.125
179 , 70 , 2684939146.875
180 , 70 , 3763143056.25
181 , 70 , 3763143056.25
182 , 70 , 3763143056.25
183 , 70 , 1786435889.0625
178 , 71 , 1067633282.8125
179 , 71 , 3498877392.1875
180 , 71 , 4270533131.25
181 , 71 , 4270533131.25
182 , 71 , 3498877392.1875
183 , 71 , 1067633282.8125
178 , 72 , 1786435889.0625
179 , 72 , 3763143056.25
180 , 72 , 3763143056.25
181 , 72 , 3763143056.25
182 , 72 , 2684939146.875
183 , 72 , 359401303.125
178 , 73 , 2114125312.5
179 , 73 , 2706080400.0
180 , 73 , 2706080400.0
181 , 73 , 2706080400.0
182 , 73 , 1786435889.0625
177 , 74 , 528531328.125
178 , 74 , 3234611728.125
179 , 74 , 3763143056.25
180 , 74 , 3763143056.25
181 , 74 , 3763143056.25
182 , 74 , 1437605212.5
177 , 75 , 1437605212.5
178 , 75 , 3763143056.25
179 , 75 , 3763143056.25
180 , 75 , 3763143056.25
181 , 75 , 3234611728.125
182 , 75 , 528531328.125
177 , 76 , 1786435889.0625
178 , 76 , 2706080400.0
179 , 76 , 2706080400.0
180 , 76 , 2706080400.0
181 , 76 , 2114125312.5
177 , 77 , 2114125312.5
178 , 77 , 2706080400.0
179 , 77 , 2706080400.0
180 , 77 , 2706080400.0
181 , 77 , 1786435889.0625
176 , 78 , 528531328.125
177 , 78 , 3234611728.125
178 , 78 , 3763143056.25
179 , 78 , 3763143056.25
180 , 78 , 3763143056.25
181 , 78 , 1437605212.5
176 , 79 , 1437605212.5
177 , 79 , 3763143056.25
178 , 79 , 3763143056.25
179 , 79 , 3763143056.25
180 , 79 , 3234611728.125
181 , 79 , 528531328.125
176 , 80 , 1786435889.0625
177 , 80 , 2706080400.0
178 , 80 , 2706080400.0
179 , 80 , 2706080400.0
180 , 80 , 2114125312.5
175 , 81 , 359401303.125
176 , 81 , 2684939146.875
177 , 81 , 3763143056.25
178 , 81 , 3763143056.25
179 , 81 , 3763143056.25
180 , 81 , 1786435889.0625
175 , 82 , 1067633282.8125
176 , 82 , 3498877392.1875
177 , 82 , 4270533131.25
