x,	 y,	 r 
289 , 31 , 433426381.84749997
290 , 31 , 433426381.84749997
291 , 31 , 433426381.84749997
292 , 31 , 433413083.22749996
289 , 32 , 887989984.7975
290 , 32 , 1321407132.11
291 , 32 , 1321400629.2775
292 , 32 , 1321366522.46
289 , 33 , 1733679093.26
290 , 33 , 3551878005.64
291 , 33 , 3551837102.86
292 , 33 , 2653280912.75
293 , 33 , 792824627.79
287 , 34 , 169161888.0475
288 , 34 , 528600418.25
289 , 34 , 3632311167.64
290 , 34 , 6378642141.5725
291 , 34 , 7721070031.0
292 , 34 , 4429156254.41
293 , 34 , 2124737392.6875
287 , 35 , 1057123617.9375
288 , 35 , 1860525374.8125
289 , 35 , 4224303418.26
290 , 35 , 8513924150.389999
291 , 35 , 10604784068.5
292 , 35 , 5549633404.2525
293 , 35 , 3287507615.3775
294 , 35 , 792824627.79
286 , 36 , 169161888.0475
287 , 36 , 1596251582.9375
288 , 36 , 2230506245.75
289 , 36 , 3431476479.14
290 , 36 , 8750815197.5725
291 , 36 , 9040294237.86
292 , 36 , 5549650473.59
293 , 36 , 4429154466.7775
294 , 36 , 2124737392.6875
286 , 37 , 1057123617.9375
287 , 37 , 3372134727.0
288 , 37 , 3372134727.0
289 , 37 , 5059323219.985
290 , 37 , 7714844862.61
291 , 37 , 7454670504.465
292 , 37 , 5549630966.36
293 , 37 , 5549630966.36
294 , 37 , 3287507615.3775
295 , 37 , 792824627.79
285 , 38 , 169161888.0475
286 , 38 , 1596251582.9375
287 , 38 , 3171309891.6875
288 , 38 , 3171292822.36
289 , 38 , 4264420099.69
290 , 38 , 4220054224.16
291 , 38 , 5012836586.09
292 , 38 , 4429144551.0
293 , 38 , 5549648035.6875
294 , 38 , 4429154466.7775
295 , 38 , 2124737392.6875
285 , 39 , 1057123617.9375
286 , 39 , 3372134727.0
287 , 39 , 4492638211.6875
288 , 39 , 4492603260.3775
289 , 39 , 3372075065.96
290 , 39 , 2386926808.29
291 , 39 , 1733630062.44
292 , 39 , 3287526798.2975
293 , 39 , 5549648035.6875
294 , 39 , 5549630966.36
295 , 39 , 3287507615.3775
296 , 39 , 792824627.79
284 , 40 , 169161888.0475
285 , 40 , 1596251582.9375
286 , 40 , 3171309891.6875
287 , 40 , 3171292822.36
288 , 40 , 3171248929.9375
289 , 40 , 1596178591.31
290 , 40 , 621603886.49
292 , 40 , 2124738693.7775
293 , 40 , 4429144551.0
294 , 40 , 5549648035.6875
295 , 40 , 4429154466.7775
296 , 40 , 2124737392.6875
284 , 41 , 1057123617.9375
285 , 41 , 3372134727.0
286 , 41 , 4492638211.6875
287 , 41 , 4492603260.3775
288 , 41 , 3372061735.7275
289 , 41 , 1057062656.25
292 , 41 , 792838446.1275
293 , 41 , 3287526798.2975
294 , 41 , 5549648035.6875
295 , 41 , 5549630966.36
296 , 41 , 3287507615.3775
297 , 41 , 792824627.79
283 , 42 , 169161888.0475
284 , 42 , 1596251582.9375
285 , 42 , 3171309891.6875
286 , 42 , 3171292822.36
287 , 42 , 3171248929.9375
288 , 42 , 1596178591.31
289 , 42 , 169130025.0
293 , 42 , 2124738693.7775
294 , 42 , 4429144551.0
295 , 42 , 5549648035.6875
296 , 42 , 4429154466.7775
297 , 42 , 2124737392.6875
283 , 43 , 623712160.36
284 , 43 , 2494758254.2975
285 , 43 , 3372133589.11
286 , 43 , 3372106928.44
287 , 43 , 3372061735.7275
288 , 43 , 1057062656.25
293 , 43 , 792838446.1275
294 , 43 , 2653271810.36
295 , 43 , 4429163733.11
296 , 43 , 4429150402.7775
297 , 43 , 2124743245.1599998
283 , 44 , 1733658673.7350001
284 , 44 , 3372133589.11
285 , 44 , 3372133589.11
286 , 44 , 3372092460.25
287 , 44 , 2230419923.9975
288 , 44 , 169130025.0
294 , 44 , 1733636240.09
295 , 44 , 4429163733.11
296 , 44 , 4429163733.11
297 , 44 , 3287527935.815
298 , 44 , 940824616.4775
282 , 45 , 169161888.0475
283 , 45 , 2494758254.2975
284 , 45 , 3372133589.11
285 , 45 , 3372120258.7775
286 , 45 , 3372061735.7275
287 , 45 , 1469317092.1875
294 , 45 , 792838446.1275
295 , 45 , 3551788398.2975
296 , 45 , 4429163733.11
297 , 45 , 4429150402.7775
298 , 45 , 2124737392.6875
282 , 46 , 1057125243.61
283 , 46 , 3372133589.11
284 , 46 , 3372133589.11
285 , 46 , 3372105790.535
286 , 46 , 2230419923.9975
287 , 46 , 359401303.125
295 , 46 , 2653290342.215
296 , 46 , 4429163733.11
297 , 46 , 4429163733.11
298 , 46 , 3287518344.41
299 , 46 , 940824616.4775
281 , 47 , 169161888.0475
282 , 47 , 1596241666.3600001
283 , 47 , 3372133589.11
284 , 47 , 3372120258.7775
285 , 47 , 3372075065.96
286 , 47 , 1469317092.1875
295 , 47 , 1733630062.44
296 , 47 , 3551788398.2975
297 , 47 , 4429163733.11
298 , 47 , 4429137072.44
299 , 47 , 2124737392.6875
281 , 48 , 1057123617.9375
282 , 48 , 3372134727.0
283 , 48 , 4492638211.6875
284 , 48 , 4492603260.3775
285 , 48 , 3372061735.7275
286 , 48 , 1057062656.25
295 , 48 , 792838446.1275
296 , 48 , 3287526798.2975
297 , 48 , 5549648035.6875
298 , 48 , 5549630966.36
299 , 48 , 3287507615.3775
300 , 48 , 792824627.79
280 , 49 , 169161888.0475
281 , 49 , 1596251582.9375
282 , 49 , 3171309891.6875
283 , 49 , 3171292822.36
284 , 49 , 3171248929.9375
285 , 49 , 1596178591.31
286 , 49 , 169130025.0
296 , 49 , 2124738693.7775
297 , 49 , 4429144551.0
298 , 49 , 5549648035.6875
299 , 49 , 4429154466.7775
300 , 49 , 2124737392.6875
280 , 50 , 1057123617.9375
281 , 50 , 3372134727.0
282 , 50 , 4492638211.6875
283 , 50 , 4492603260.3775
284 , 50 , 3372061735.7275
285 , 50 , 1057062656.25
296 , 50 , 792838446.1275
297 , 50 , 3287526798.2975
298 , 50 , 5549648035.6875
299 , 50 , 5549630966.36
300 , 50 , 3287507615.3775
301 , 50 , 792824627.79
279 , 51 , 169161888.0475
280 , 51 , 1596251582.9375
281 , 51 , 3171309891.6875
282 , 51 , 3171292822.36
283 , 51 , 3171248929.9375
284 , 51 , 1596178591.31
285 , 51 , 169130025.0
297 , 51 , 2124738693.7775
298 , 51 , 4429144551.0
299 , 51 , 5549648035.6875
300 , 51 , 4429154466.7775
301 , 51 , 2124737392.6875
279 , 52 , 1057123617.9375
280 , 52 , 3372134727.0
281 , 52 , 4492638211.6875
282 , 52 , 4492603260.3775
283 , 52 , 3372061735.7275
284 , 52 , 1057062656.25
297 , 52 , 792838446.1275
298 , 52 , 3287526798.2975
299 , 52 , 5549648035.6875
300 , 52 , 5549630966.36
301 , 52 , 3287507615.3775
302 , 52 , 792824627.79
278 , 53 , 169161888.0475
279 , 53 , 1596251582.9375
280 , 53 , 3171309891.6875
281 , 53 , 3171292822.36
282 , 53 , 3171248929.9375
283 , 53 , 1596178591.31
284 , 53 , 169130025.0
298 , 53 , 2124738693.7775
299 , 53 , 4429144551.0
300 , 53 , 5549648035.6875
301 , 53 , 4429154466.7775
302 , 53 , 2124737392.6875
278 , 54 , 1057123617.9375
279 , 54 , 3372134727.0
280 , 54 , 4492638211.6875
281 , 54 , 4492603260.3775
282 , 54 , 3372061735.7275
283 , 54 , 1057062656.25
298 , 54 , 792838446.1275
299 , 54 , 3287526798.2975
300 , 54 , 5549648035.6875
301 , 54 , 5549630966.36
302 , 54 , 3287507615.3775
303 , 54 , 792824627.79
277 , 55 , 169163026.4525
278 , 55 , 1596255159.5149999
279 , 55 , 3171302576.3225
280 , 55 , 3171292822.36
281 , 55 , 3171248929.9375
282 , 55 , 1596178591.31
283 , 55 , 169130025.0
