x,	 y,	 r 
289 , 31 , 356345283.6875
290 , 31 , 356345283.6875
291 , 31 , 356345283.6875
292 , 31 , 356333166.02750003
288 , 32 , 304910951.36
289 , 32 , 1041565332.6775
290 , 32 , 1376740108.99
291 , 32 , 1376735116.9975
292 , 32 , 1095877543.36
287 , 33 , 117130104.59
288 , 33 , 741927655.39
289 , 33 , 2514767335.54
290 , 33 , 3938093891.24
291 , 33 , 3938059952.5
292 , 33 , 2206228086.75
293 , 33 , 635238356.75
287 , 34 , 469289640.84749997
288 , 34 , 1745414013.24
289 , 34 , 5085225313.75
290 , 34 , 7254912117.3125
291 , 34 , 7425755777.75
292 , 34 , 3691483990.84
293 , 34 , 1737687677.3274999
286 , 35 , 117130104.59
287 , 35 , 1056466931.8975
288 , 35 , 2983899885.2525
289 , 35 , 5968933218.139999
290 , 35 , 9941169465.91
291 , 35 , 9844852977.5
292 , 35 , 4651185419.9725
293 , 35 , 2720555930.2975
294 , 35 , 635238356.75
286 , 36 , 469289640.84749997
287 , 36 , 1878667821.0774999
288 , 36 , 3175412839.24
289 , 36 , 5470891197.91
290 , 36 , 9640036418.0525
291 , 36 , 8528592964.309999
292 , 36 , 4653168858.44
293 , 36 , 3692060153.8775
294 , 36 , 1737687677.3274999
285 , 37 , 117130104.59
286 , 37 , 1056466931.8975
287 , 37 , 2231087171.8599997
288 , 37 , 2231087171.8599997
289 , 37 , 4785014048.965
290 , 37 , 6687339370.61
291 , 37 , 6093682580.165
292 , 37 , 4644326378.26
293 , 37 , 4644326378.26
294 , 37 , 2720555930.2975
295 , 37 , 635238356.75
285 , 38 , 469289640.84749997
286 , 38 , 1878667821.0774999
287 , 38 , 2937818523.6875
288 , 38 , 2937805641.46
289 , 38 , 3515830072.6099997
290 , 38 , 3632054796.64
291 , 38 , 3732914194.21
292 , 38 , 3733558368.5
293 , 38 , 4651710555.6875
294 , 38 , 3692060153.8775
295 , 38 , 1737687677.3274999
284 , 39 , 117130104.59
285 , 39 , 1056466931.8975
286 , 39 , 2231087171.8599997
287 , 39 , 2937818523.6875
288 , 39 , 2937796842.6775
289 , 39 , 1887166892.06
290 , 39 , 1615176109.25
291 , 39 , 1356797573.6599998
292 , 39 , 2795108310.1975
293 , 39 , 4651710555.6875
294 , 39 , 4644326378.26
295 , 39 , 2720555930.2975
296 , 39 , 635238356.75
284 , 40 , 469289640.84749997
285 , 40 , 1878667821.0774999
286 , 40 , 2937818523.6875
287 , 40 , 2937805641.46
288 , 40 , 2232855319.0975
289 , 40 , 1058746778.51
290 , 40 , 402592482.01
292 , 40 , 1827516195.8975
293 , 40 , 3733558368.5
294 , 40 , 4651710555.6875
295 , 40 , 3692060153.8775
296 , 40 , 1737687677.3274999
283 , 41 , 117130104.59
284 , 41 , 1056466931.8975
285 , 41 , 2231087171.8599997
286 , 41 , 2937818523.6875
287 , 41 , 2937796842.6775
288 , 41 , 1881714651.7275
289 , 41 , 470809542.31
292 , 41 , 705044420.6875
293 , 41 , 2795108310.1975
294 , 41 , 4651710555.6875
295 , 41 , 4644326378.26
296 , 41 , 2720555930.2975
297 , 41 , 635238356.75
283 , 42 , 469289640.84749997
284 , 42 , 1878667821.0774999
285 , 42 , 2937818523.6875
286 , 42 , 2937805641.46
287 , 42 , 2232855319.0975
288 , 42 , 1058746778.51
289 , 42 , 117891820.84
293 , 42 , 1827516195.8975
294 , 42 , 3733558368.5
295 , 42 , 4651710555.6875
296 , 42 , 3692060153.8775
297 , 42 , 1737687677.3274999
283 , 43 , 1001215785.26
284 , 43 , 2437021627.9975
285 , 43 , 2974280365.75
286 , 43 , 2974260844.64
287 , 43 , 1881714651.7275
288 , 43 , 470809542.31
293 , 43 , 705044420.6875
294 , 43 , 2252096764.0
295 , 43 , 3703568557.75
296 , 43 , 3697835746.3975
297 , 43 , 1742352950.06
282 , 44 , 250590298.9375
283 , 44 , 1869338248.865
284 , 44 , 2974280365.75
285 , 44 , 2974280365.75
286 , 44 , 2974248080.76
287 , 44 , 1471117743.4375
288 , 44 , 117891820.84
294 , 44 , 1495324317.56
295 , 44 , 3703568557.75
296 , 44 , 3703568557.75
297 , 44 , 2728879541.665
298 , 44 , 743503607.0975
282 , 45 , 743823357.1875
283 , 45 , 2437021627.9975
284 , 45 , 2974280365.75
285 , 45 , 2974270605.1975
286 , 45 , 2438644772.2275
287 , 45 , 743307613.1875
294 , 45 , 710920066.9475
295 , 45 , 2988403287.4375
296 , 45 , 3703568557.75
297 , 45 , 3697835746.3975
298 , 45 , 1739917332.2275
281 , 46 , 117132678.7975
282 , 46 , 1472076048.3600001
283 , 46 , 2974280365.75
284 , 46 , 2974280365.75
285 , 46 , 2974257841.265
286 , 46 , 1872108799.0974998
287 , 46 , 250520119.285
295 , 46 , 2252768355.185
296 , 46 , 3703568557.75
297 , 46 , 3703568557.75
298 , 46 , 2724795267.56
299 , 46 , 742782391.4375
281 , 47 , 469289640.84749997
282 , 47 , 1885026412.6399999
283 , 47 , 2974280365.75
284 , 47 , 2974270605.1975
285 , 47 , 2438654806.46
286 , 47 , 1003222572.6475
295 , 47 , 1489658979.26
296 , 47 , 2988403287.4375
297 , 47 , 3703568557.75
298 , 47 , 3692101535.84
299 , 47 , 1737687677.3274999
280 , 48 , 117130104.59
281 , 48 , 1056466931.8975
282 , 48 , 2231087171.8599997
283 , 48 , 2937818523.6875
284 , 48 , 2937796842.6775
285 , 48 , 1881714651.7275
286 , 48 , 470809542.31
295 , 48 , 705044420.6875
296 , 48 , 2795108310.1975
297 , 48 , 4651710555.6875
298 , 48 , 4644326378.26
299 , 48 , 2720555930.2975
300 , 48 , 635238356.75
280 , 49 , 469289640.84749997
281 , 49 , 1878667821.0774999
282 , 49 , 2937818523.6875
283 , 49 , 2937805641.46
284 , 49 , 2232855319.0975
285 , 49 , 1058746778.51
286 , 49 , 117891820.84
296 , 49 , 1827516195.8975
297 , 49 , 3733558368.5
298 , 49 , 4651710555.6875
299 , 49 , 3692060153.8775
300 , 49 , 1737687677.3274999
279 , 50 , 117130104.59
280 , 50 , 1056466931.8975
281 , 50 , 2231087171.8599997
282 , 50 , 2937818523.6875
283 , 50 , 2937796842.6775
284 , 50 , 1881714651.7275
285 , 50 , 470809542.31
296 , 50 , 705044420.6875
297 , 50 , 2795108310.1975
298 , 50 , 4651710555.6875
299 , 50 , 4644326378.26
300 , 50 , 2720555930.2975
301 , 50 , 635238356.75
279 , 51 , 469289640.84749997
280 , 51 , 1878667821.0774999
281 , 51 , 2937818523.6875
282 , 51 , 2937805641.46
283 , 51 , 2232855319.0975
