x,	 y,	 r 
35 , 76 , 3283404311.84
36 , 76 , 3283404311.84
37 , 76 , 3283404311.84
38 , 76 , 3285442745.96
39 , 76 , 4162816780.25
50 , 76 , 3283404311.84
51 , 76 , 3283404311.84
52 , 76 , 3283404311.84
53 , 76 , 3285442745.96
54 , 76 , 4162816780.25
164 , 76 , 3283404311.84
165 , 76 , 3283404311.84
166 , 76 , 3283404311.84
167 , 76 , 3285442745.96
168 , 76 , 4162816780.25
250 , 76 , 3283404311.84
251 , 76 , 3283404311.84
252 , 76 , 3283404311.84
253 , 76 , 3285442745.96
254 , 76 , 4162816780.25
329 , 76 , 3283404311.84
330 , 76 , 3283404311.84
331 , 76 , 3283404311.84
332 , 76 , 3285442745.96
333 , 76 , 4162816780.25
361 , 76 , 940796330.5625
362 , 76 , 1733607465.71
363 , 76 , 1321347827.79
364 , 76 , 887946286.49
365 , 76 , 433402841.81
35 , 77 , 3283404311.84
36 , 77 , 3283404311.84
37 , 77 , 3283404311.84
38 , 77 , 3285442745.96
39 , 77 , 4162816780.25
50 , 77 , 3283404311.84
51 , 77 , 3283404311.84
52 , 77 , 3283404311.84
53 , 77 , 3285442745.96
54 , 77 , 4162816780.25
164 , 77 , 3283404311.84
165 , 77 , 3283404311.84
166 , 77 , 3283404311.84
167 , 77 , 3285442745.96
168 , 77 , 4162816780.25
250 , 77 , 3283404311.84
251 , 77 , 3283404311.84
252 , 77 , 3283404311.84
253 , 77 , 3285442745.96
254 , 77 , 4162816780.25
329 , 77 , 3283404311.84
330 , 77 , 3283404311.84
331 , 77 , 3283404311.84
332 , 77 , 3285442745.96
333 , 77 , 4162816780.25
361 , 77 , 940796330.5625
362 , 77 , 1733607465.71
363 , 77 , 1321347827.79
364 , 77 , 887946286.49
365 , 77 , 433402841.81
35 , 78 , 3283404311.84
36 , 78 , 3283404311.84
37 , 78 , 3283404311.84
38 , 78 , 3285442745.96
39 , 78 , 4162816780.25
50 , 78 , 3283404311.84
51 , 78 , 3283404311.84
52 , 78 , 3283404311.84
53 , 78 , 3285442745.96
54 , 78 , 4162816780.25
164 , 78 , 3283404311.84
165 , 78 , 3283404311.84
166 , 78 , 3283404311.84
167 , 78 , 3285442745.96
168 , 78 , 4162816780.25
250 , 78 , 3283404311.84
251 , 78 , 3283404311.84
252 , 78 , 3283404311.84
253 , 78 , 3285442745.96
254 , 78 , 4162816780.25
329 , 78 , 3283404311.84
330 , 78 , 3283404311.84
331 , 78 , 3283404311.84
332 , 78 , 3285442745.96
333 , 78 , 4162816780.25
361 , 78 , 940796330.5625
362 , 78 , 1733607465.71
363 , 78 , 1321347827.79
364 , 78 , 887946286.49
365 , 78 , 433402841.81
35 , 79 , 3285442745.96
36 , 79 , 3285442745.96
37 , 79 , 3285442745.96
38 , 79 , 3287464860.9375
39 , 79 , 4164826865.625
50 , 79 , 3285442745.96
51 , 79 , 3285442745.96
52 , 79 , 3285442745.96
53 , 79 , 3287464860.9375
54 , 79 , 4164826865.625
164 , 79 , 3285442745.96
165 , 79 , 3285442745.96
166 , 79 , 3285442745.96
167 , 79 , 3287464860.9375
168 , 79 , 4164826865.625
250 , 79 , 3285442745.96
251 , 79 , 3285442745.96
252 , 79 , 3285442745.96
253 , 79 , 3287464860.9375
254 , 79 , 4164826865.625
329 , 79 , 3285442745.96
330 , 79 , 3285442745.96
331 , 79 , 3285442745.96
332 , 79 , 3287464860.9375
333 , 79 , 4164826865.625
361 , 79 , 940785764.0625
362 , 79 , 1733582756.25
363 , 79 , 1321328320.3125
364 , 79 , 887932631.25
365 , 79 , 433395689.0625
35 , 80 , 4162816780.25
36 , 80 , 4162816780.25
37 , 80 , 4162816780.25
38 , 80 , 4164826865.625
39 , 80 , 5285313281.25
50 , 80 , 4162816780.25
51 , 80 , 4162816780.25
52 , 80 , 4162816780.25
53 , 80 , 4164826865.625
54 , 80 , 5285313281.25
164 , 80 , 4162816780.25
165 , 80 , 4162816780.25
166 , 80 , 4162816780.25
167 , 80 , 4164826865.625
168 , 80 , 5285313281.25
250 , 80 , 4162816780.25
251 , 80 , 4162816780.25
252 , 80 , 4162816780.25
